====================Start New Logs==============================
config: GD | instance: gttt-4x4-1-1-tippy-v2  | preprocessor-only: bloqqer | time: 2
config: GD | instance: gttt-4x4-2-2-fatty-v2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: gttt-4x4-2-2-elly-v2  | preprocessor-only: bloqqer | time: 2
config: GD | instance: gttt-4x4-2-2-knobby-v2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: gttt-4x4-2-2-skinny-v2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: gttt-4x4-2-2-tippy-v2  | preprocessor-only: bloqqer | time: 2
config: GD | instance: dots-and-boxes-2x2  | preprocessor-only: bloqqer | time: 1
config: GD | instance: dots-and-boxes-2x3  | preprocessor-only: bloqqer | time: 4
config: GD | instance: connect-3-3player-4x4  | preprocessor-only: bloqqer | time: 1
config: GD | instance: connect-3-3player-5x5  | preprocessor-only: bloqqer | time: 6
config: GD | instance: connect-3-3player-6x6  | preprocessor-only: bloqqer | time: 22
config: GD | instance: connect-4-3player-4x4  | preprocessor-only: bloqqer | time: 1
config: GD | instance: connect-4-3player-5x4  | preprocessor-only: bloqqer | time: 2
config: GD | instance: connect-4-3player-5x5  | preprocessor-only: bloqqer | time: 4
config: GD | instance: tic-tac-toe-3player-3x3  | preprocessor-only: bloqqer | time: 1
config: GD | instance: tic-tac-toe-3player-4x4  | preprocessor-only: bloqqer | time: 8
config: ND | instance: break-through-2x5  | preprocessor-only: bloqqer | time: 5
config: ND | instance: break-through-3x4  | preprocessor-only: bloqqer | time: 8
config: ND | instance: break-through-2x6  | preprocessor-only: bloqqer | time: 15
config: ND | instance: break-through-4x4  | preprocessor-only: bloqqer | time: 41
config: ND | instance: connect-3-4x4  | preprocessor-only: bloqqer | time: 3
config: ND | instance: connect-3-5x5  | preprocessor-only: bloqqer | time: 4
